List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,State Association,Age,Specialism,Price Rs in Cr. 
511,72,AL10,Matthew,Forde,West Indies,,22,ALL-ROUNDER,30
512,72,AL10,Patrick,Kruger,South Africa,,30,ALL-ROUNDER,30
513,72,FA10,Lahiru,Kumara,Sri Lanka,,28,BOWLER,50
514,72,AL10,Michael,Neser,Australia,,35,ALL-ROUNDER,30
515,72,FA10,Richard,Ngarava,Zimbabwe,,27,BOWLER,30
516,72,FA10,Wayne,Parnell,South Africa,,35,BOWLER,50
517,72,AL10,Keemo,Paul,West Indies,,27,ALL-ROUNDER,50
518,72,AL10,Odean,Smith,West Indies,,28,ALL-ROUNDER,50
519,72,FA10,Andrew,Tye,Australia,,38,BOWLER,50
520,73,UAL10,Ajay,Ahlawat,India,DDCA,27,ALL-ROUNDER,30
521,73,UAL10,Corbin,Bosch,South Africa,,30,ALL-ROUNDER,50
522,73,UAL10,Mayank,Gusain,India,DDCA,23,ALL-ROUNDER,30
523,73,UAL10,Mukhtar,Hussain,India,ASCA,26,ALL-ROUNDER,30
524,73,UAL10,Girinath,Reddy,India,ACA,26,ALL-ROUNDER,30
525,73,UAL10,Jalaj,Saxena,India,KCA,38,ALL-ROUNDER,30
526,73,UAL10,Yajas,Sharma,India,DDCA,19,ALL-ROUNDER,30
527,73,UAL10,Sanjay,Yadav,India,TNCA,29,ALL-ROUNDER,30
528,74,UFA10,Vishal,Godara,India,RCA,22,BOWLER,30
529,74,UFA10,Eshan,Malinga,Sri Lanka,,24,BOWLER,30
530,74,UFA10,Samarth,Nagraj,India,KSCA,19,BOWLER,30
531,74,UFA10,Abhishek,Saini,India,UTCA,26,BOWLER,30
532,74,UFA10,Dumindu,Sewmina,Sri Lanka,,20,BOWLER,30
533,74,UFA10,Pradyuman Kumar,Singh,India,UTCA,23,BOWLER,30
534,74,UFA10,Vasu,Vats,India,UPCA,22,BOWLER,30
535,75,UAL11,Umang,Kumar,India,GUCA,24,ALL-ROUNDER,30
536,75,UAL11,Mohamed,Ali,India,TNCA,20,ALL-ROUNDER,30
537,75,UAL11,Atharva,Ankolekar,India,MCA,24,ALL-ROUNDER,30
538,75,UAL11,Vaisakh,Chandran,India,KCA,28,ALL-ROUNDER,30
539,75,UAL11,Auqib,Dar,India,JKCA,28,ALL-ROUNDER,30
540,75,UAL11,Rohit,Rayudu,India,HYCA,30,ALL-ROUNDER,30
541,75,UAL11,Uday,Saharan,India,PCA,20,ALL-ROUNDER,30
542,75,UAL11,Ayush,Vartak,India,MCA,20,ALL-ROUNDER,30
543,76,UAL12,Baba,Aparajith,India,KCA,30,ALL-ROUNDER,30
544,76,UAL12,Sumit Kumar,Beniwal,India,DDCA,25,ALL-ROUNDER,30
545,76,UAL12,Nishunk,Birla,India,UTCA,20,ALL-ROUNDER,30
546,76,UAL12,Digvijay,Deshmukh,India,MACA,26,ALL-ROUNDER,30
547,76,UAL12,Lakshay,Jain,India,TNCA,22,ALL-ROUNDER,30
548,76,UAL12,Duan,Jansen,South Africa,,24,ALL-ROUNDER,50
549,76,UAL12,Kritagya,Singh,India,UPCA,24,ALL-ROUNDER,30
550,76,UAL12,P.,Vignesh,India,TNCA,20,ALL-ROUNDER,30
551,77,UAL13,Sabhay,Chadha,India,CAP,26,ALL-ROUNDER,30
552,77,UAL13,Ben,Howell,England,,36,ALL-ROUNDER,50
553,77,UAL13,Hemanth,Kumar,India,ACA,20,ALL-ROUNDER,30
554,77,UAL13,Rohan,Rana,India,HCA,23,ALL-ROUNDER,30
555,77,UAL13,Bharat,Sharma,India,CAP,29,ALL-ROUNDER,30
556,77,UAL13,Pratham,Singh,India,RSPB,32,ALL-ROUNDER,30
557,77,UAL13,Tripurana,Vijay,India,ACA,23,ALL-ROUNDER,30
558,77,UAL13,Ravi,Yadav,India,JSCA,27,ALL-ROUNDER,30
559,78,UAL14,Arjun,Azad,India,UTCA,23,ALL-ROUNDER,30
560,78,UAL14,Abhay,Choudhary,India,PCA,22,ALL-ROUNDER,30
561,78,UAL14,Gaurav,Gambhir,India,UTCA,37,ALL-ROUNDER,30
562,78,UAL14,Shubham,Garhwal,India,RCA,29,ALL-ROUNDER,30
563,78,UAL14,Tejasvi,Jaiswal,India,TCA,28,ALL-ROUNDER,30
