Position,Player,Country,Rating
1,252,Hardik Pandya,
2,210,Marcus Stoinis,
3,208,Dipendra Airee,
4,207,Mohammad Mohammad Nabi,
5,205,Wanindu Hasaranga,
6,204,Romario Shepherd,
7,196,Liam Livingstone,
8,194,Sikandar Raza,
9,184,Roston Chase,
10,164,Gerhard Erasmus,
