Position,Player,Country,Rating
1,296,Azmatullah Omarzai,
2,292,Mohammad Mohammad Nabi,
3,290,Sikandar Raza,
4,248,Mehidy Hasan,
5,246,Michael Bracewell,
6,240,Brandon McMullen,
7,238,Mitchell Santner,
7,238,Rashid Khan,
9,222,Glenn Maxwell,
10,220,Ravindra Jadeja,
